ID	buff名字	buff类型（Global查询）	目标类型（Global查询）	buff激活的阶段	buff造成的属性变化	是否是增益buff	buff描述
001	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
123	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
342123	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
123321	Buff	1	0	1	11111111111111|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
12332123421421	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
345432	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
34431	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
4554	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
767868	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
89065	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
3	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
5	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
7	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
45	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
67	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
435	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
675	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
23	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
2343456	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
345345	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
345234	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
4566534	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
42342134	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
543534534	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
566545	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
21323	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
34553443	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
54656434	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
565433	回血	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
12321	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
3455344	Buff	1	0	1	0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0|0:0	1	buff描述
